symptom_keywords,medicine_name,dosage,home_remedy,side_effects
Treatment of AnxietyTreatment of Skin conditions with inflammation & itching,Atarax 25mg Tablet,As directed by physician,,Sedation Nausea Vomiting Upset stomach Constipation
Treatment of Bacterial infections,Azee 500 Tablet,As directed by physician,,Nausea Abdominal pain Diarrhea
Treatment of Piles,Anovate Cream,As directed by physician,Application site reactions burning irritation itching and redness,
Treatment of Sneezing and runny nose due to allergies,Allegra-M Tablet,As directed by physician,,Nausea Diarrhea Vomiting Skin rash Flu like symptoms Headache Drowsiness Dizziness
Treatment of Dry cough,Ascoril D Plus Syrup Sugar Free,As directed by physician,,Nausea Vomiting Loss of appetite Headache
Treatment of Dry cough,Alex Syrup,As directed by physician,,Nausea Vomiting Loss of appetite Headache
 Breast cancer,Armotraz Tablet,As directed by physician,,Hot flashes Nausea Osteoporosis Skin rash Weakness
Treatment of Resistance Tuberculosis (TB)Treatment of Bacterial infections,Augmentin Duo Oral Suspension,As directed by physician,,Abdominal pain Allergy Vomiting Nausea Diarrhea Mucocutaneous candidiasis
Treatment of Parasitic infections,Albendazole 400mg Tablet,As directed by physician,,Vomiting Dizziness Increased liver enzymes Nausea Loss of appetite
Treatment of Hypertension (high blood pressure),Arkamin Tablet,As directed by physician,,Dryness in mouth Fatigue Dizziness Headache Nausea Sleepiness Insomnia difficulty in sleeping
Treatment of Sneezing and runny nose due to allergiesTreatment of Allergic conditions,Allegra 180mg Tablet,As directed by physician,,Headache Drowsiness Dizziness Nausea
 Pain relief,Altraday Capsule SR,As directed by physician,,Nausea Flatulence Indigestion Diarrhea Constipation
Treatment of AnxietyTreatment of Skin conditions with inflammation & itching,Atarax 10mg Tablet,As directed by physician,,Sedation Nausea Vomiting Upset stomach Constipation
 Pain relief,Aldigesic-SP Tablet,As directed by physician,,Nausea Vomiting Stomach pain Indigestion Heartburn Loss of appetite Diarrhea
 Hypertension (high blood pressure) Edema Low potassium Heart failure,Aldactone Tablet,As directed by physician,,Nausea Vomiting Leg cramps Dizziness Drowsiness Confusion Breast enlargement in male Increased creatinine level in blood
 Alzheimer's disease,Aricep 10 Tablet,As directed by physician,,Common cold Urinary incontinence Rash Nausea Diarrhea Insomnia difficulty in sleeping Weight loss Accidental injury
 Alzheimer's disease,Aricep-M  Tablet,As directed by physician,,Nausea Vomiting Loss of appetite Diarrhea Headache Dizziness Bleeding under the skin
Treatment of Allergic eye disease,Andre I-Kul Eye Drop,As directed by physician,,Eye pain Eye irritation Stinging in the eyes Blurred vision Photophobia
Treatment of Abdominal pain,Anafortan 25 mg/300 mg Tablet,As directed by physician,,Dryness in mouth Constipation Blurred vision Increased heart rate
Treatment of AnxietyTreatment of Skin conditions with inflammation & itching,Atarax Syrup,As directed by physician,,Sedation Nausea Vomiting Upset stomach Constipation
Treatment of Cough,Ambrodil-S Syrup,As directed by physician,,Headache Palpitations Upset stomach Tremors Muscle cramp Allergic reaction Increased heart rate
Treatment of Dry cough,Asthakind-DX Syrup Sugar Free,As directed by physician,,Nausea Vomiting Loss of appetite Headache
 Pain relief,Aceclo Plus Tablet,As directed by physician,,Nausea Vomiting Stomach pain epigastric pain Loss of appetite Heartburn Diarrhea
Treatment of Bacterial infections,Althrocin 500 Tablet,As directed by physician,,Vomiting Nausea Abdominal pain Diarrhea
Treatment of Chronic obstructive pulmonary disease (COPD)Treatment and prevention of Asthma,Asthalin Syrup,As directed by physician,,Tremors Headache Palpitations Increased heart rate Muscle cramp Nervousness
 Prevention of heart attack and stroke,Axcer  90mg Tablet,As directed by physician,Bleeding Breathlessness,
Treatment of Vitamin D deficiencyTreatment of Osteoporosis,Arachitol 6L Injection,As directed by physician,,Injection site reactions pain swelling redness Weakness Muscle pain Metallic taste
Treatment of Benign prostatic hyperplasia,Alfoo 10mg Tablet PR,As directed by physician,,Upper respiratory tract infection Dizziness Headache Nausea Abdominal pain Impotence
Treatment of Bacterial infections,Azithral 200 Liquid,As directed by physician,,Nausea Abdominal pain Diarrhea
 Pain relief,Acemiz Plus Tablet,As directed by physician,,Nausea Vomiting Stomach pain epigastric pain Loss of appetite Heartburn Diarrhea
Treatment of Sneezing and runny nose due to allergiesTreatment of Allergic conditions,Allegra Suspension Raspberry &amp; Vanilla,As directed by physician,,Headache Drowsiness Dizziness Nausea
Treatment of Dry cough,Alex Junior Syrup,As directed by physician,Upset stomach Sleepiness,
Treatment of Bacterial infections,Azicip 500 Tablet,As directed by physician,,Nausea Abdominal pain Diarrhea
Treatment of Allergic conditionsTreatment of Respiratory disease with excessive mucusTreatment of Skin conditions with inflammation & itchingTreatment and prevention of Meniere's disease,Avil Injection,As directed by physician,Sedation,
Treatment of Vitamin A deficiency,Aquasol A Capsule,As directed by physician,No common side effects seen,
Treatment of Anal fissure,Anobliss Cream,As directed by physician,Anal irritation,
Treatment of Resistant Tuberculosis (TB)Treatment of Bacterial infections,Augmentin DDS Suspension,As directed by physician,,Abdominal pain Allergy Vomiting Nausea Diarrhea Mucocutaneous candidiasis
Treatment of Bacterial infections,Almox 500 Capsule,As directed by physician,,Nausea Diarrhea Skin rash Vomiting
Treatment of Syndromic treatment of vaginal discharge,AF Kit Tablet,As directed by physician,,Taste change Vomiting Headache Dizziness Stomach pain Nausea Indigestion Diarrhea Loss of appetite
Treatment of Cough with mucus,Ascoril LS Junior Syrup,As directed by physician,,Nausea Vomiting Diarrhea Upset stomach Stomach pain Allergic reaction Dizziness Headache Rash Hives Tremors Palpitations Muscle cramp Increased heart rate
Treatment of Chronic obstructive pulmonary disease (COPD)Treatment and prevention of Asthma,Asthalin 100mcg Inhaler,As directed by physician,,Tremors Headache Palpitations Increased heart rate Muscle cramp Respiratory tract inflammation Respiratory tract infection Cough
 Appetite stimulant,Aptimust Syrup,As directed by physician,Constipation Dryness in mouth Drowsiness Sleepiness Blurred vision,
Treatment of AsthmaTreatment of BronchitisTreatment of Chronic obstructive pulmonary disease (COPD),AB Phylline Capsule,As directed by physician,,Vomiting Abdominal pain Drowsiness Heartburn Increased white blood cell count Loss of appetite Rash Itching Constipation Diarrhea Abdominal discomfort Abdominal distension Esophageal bleeding Red spots or bumps Breathing problems High white blood cell count Nasal inflammation
Treatment of Bacterial infections,Azee 200mg Dry Syrup,As directed by physician,,Nausea Abdominal pain Diarrhea
 Acne,Adaferin Gel,As directed by physician,,Erythema skin redness Dry skin Skin peeling Skin burn Itching
Treatment of Depression Neuropathic painTreatment of Migraine,Amitone 10mg Tablet,As directed by physician,,Constipation Dryness in mouth Orthostatic hypotension sudden lowering of blood pressure on standing Weight gain Aggressive behavior Nasal congestion stuffy nose Sleepiness Dizziness Headache Decreased libido Nausea Fatigue Confusion Tremors Speech disorder Palpitations Taste change Paresthesia tingling or pricking sensation Abnormality of voluntary movements Loss of accommodation Atrioventricular block Micturition disorders Erectile dysfunction Abnormal E C G Decreased sodium level in blood
Treatment of Respiratory tract disorders associated with viscid mucus,Ambrodil Syrup,As directed by physician,,Vomiting Nausea Upset stomach
Treatment of Chronic obstructive pulmonary disease (COPD),AB-Flo-N Tablet,As directed by physician,,Vomiting Heartburn Stomach pain Upset stomach Rash Hives Itching Breathing problems Nasal inflammation Increased white blood cell count
Acute Sore throatTreatment of Cough with mucus,Ascoril LS Drops,As directed by physician,,Vomiting Diarrhea Excessive salivation Fatigue Headache Dizziness Rash Numbness of extremity Nausea Increased heart rate Stomach discomfort Palpitations Tremors Muscle cramp
 Dry cough,Alex Cough Lozenges Lemon Ginger,As directed by physician,,Sleepiness Dizziness Confusion Nausea
 High cholesterolPrevention of Heart attack,Atorva 40 Tablet,As directed by physician,,Dyspepsia Abdominal pain Indigestion Diarrhea Joint pain Nasopharyngitis inflammation of the throat and nasal passages Nausea Pain in extremities Urinary tract infection Abnormal liver function tests
Treatment of Acne,Aziderm 20% Cream,As directed by physician,Application site reactions burning irritation itching and redness,
Treatment of Dry cough,Ascoril D Junior Cough Syrup,As directed by physician,,Nausea Vomiting Loss of appetite Headache
Treatment of Functional dyspepsia,Acogut Tablet,As directed by physician,,Headache Diarrhea
Treatment of Bacterial infections,Augmentin 1000 Duo Tablet,As directed by physician,,Vomiting Nausea Diarrhea Mucocutaneous candidiasis
Treatment of Anal fissure,Ano Metrogyl Cream,As directed by physician,,Burning sensation Tingling Rash
Treatment of Angina (heart-related chest pain),Angispan - TR 2.5mg Capsule,As directed by physician,,Blurred vision Decreased blood pressure Dizziness Headache Increased heart rate Lightheadedness Paresthesia tingling or pricking sensation
Treatment of Bacterial eye infections,Apdrops Eye Drop,As directed by physician,Eye discomfort Dry eye Burning sensation in eye,
 Herpes Simplex Virus Infections Chickenpox Herpes labialis Shingles Genital herpes infection,Acivir 400 DT Tablet,As directed by physician,,Headache Dizziness Vomiting Nausea Fatigue Fever Stomach pain Diarrhea Skin rash Photophobia
 Herpes labialis,Acivir Cream,As directed by physician,Application site reactions burning irritation itching and redness,
Treatment of Bacterial infections,Azee 250 Tablet,As directed by physician,,Nausea Abdominal pain Diarrhea
 Pain relief,Aldigesic P 100mg/325mg Tablet,As directed by physician,,Nausea Vomiting Stomach pain epigastric pain Loss of appetite Heartburn Diarrhea
Treatment and prevention of Blood clots,Acitrom 2 Tablet,As directed by physician,Hemorrhage,
Treatment of Allergic conditions,Alerid Syrup,As directed by physician,,Nausea Muscle pain Edema swelling Sleepiness Fatigue Vomiting Dryness in mouth Headache Constipation
 High cholesterolPrevention of Heart attack,Atorva Tablet,As directed by physician,,Dyspepsia Abdominal pain Indigestion Diarrhea Joint pain Nasopharyngitis inflammation of the throat and nasal passages Nausea Pain in extremities Urinary tract infection Abnormal liver function tests
Treatment of Bacterial infections,Azax 500 Tablet,As directed by physician,,Nausea Abdominal pain Diarrhea
 High cholesterolPrevention of Heart attack,Aztor 10 Tablet,As directed by physician,,Dyspepsia Abdominal pain Indigestion Diarrhea Joint pain Nasopharyngitis inflammation of the throat and nasal passages Nausea Pain in extremities Urinary tract infection Abnormal liver function tests
Treatment of Bacterial eye / ear infectionsTreatment of Eye infection with inflammation,Alciflox D Eye/Ear Drops,As directed by physician,,Application site reactions burning irritation itching and redness Eye discomfort Corneal deposits Ocular hyperemia Taste change Ear discomfort Ear pain
Treatment of Edema,Amifru 40 Tablet,As directed by physician,,Nausea Vomiting Diarrhea Weakness Headache Dehydration Muscle cramp Decreased sodium level in blood Decreased magnesium level in blood Decreased calcium level in blood Increased blood uric acid
Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,Aciloc 300 Tablet,As directed by physician,,Headache Diarrhea Gastrointestinal disturbance
Treatment of Bacterial infections,Augmentin 1.2gm Injection,As directed by physician,,Vomiting Nausea Diarrhea Mucocutaneous candidiasis
Treatment of Cough with mucus,Asthakind Expectorant Sugar Free,As directed by physician,,Nausea Diarrhea Bloating Indigestion Vomiting Stomach pain Sweating Dizziness Headache Skin rash Hives Tremors Increased heart rate
 High cholesterolPrevention of Heart attack,Atorva 20 Tablet,As directed by physician,,Dyspepsia Abdominal pain Indigestion Diarrhea Joint pain Nasopharyngitis inflammation of the throat and nasal passages Nausea Pain in extremities Urinary tract infection Abnormal liver function tests
Treatment of AsthmaTreatment of BronchitisTreatment of Chronic obstructive pulmonary disease (COPD),AB Phylline SR 200 Tablet,As directed by physician,,Vomiting Abdominal pain Drowsiness Heartburn Increased white blood cell count Loss of appetite Rash Itching Constipation Diarrhea Abdominal discomfort Abdominal distension Esophageal bleeding Red spots or bumps Breathing problems High white blood cell count Nasal inflammation
 Alzheimer's disease,Aricep-M  Forte Tablet,As directed by physician,,Nausea Vomiting Loss of appetite Diarrhea Headache Dizziness Bleeding under the skin
Treatment of Type 2 diabetes mellitus,Amaryl 1mg Tablet,As directed by physician,,Hypoglycemia low blood glucose level Headache Nausea Dizziness Weakness
Treatment of Dry eyes,Add Tears Lubricant Eye Drop,As directed by physician,,Eye irritation Burning eyes Eye discomfort Eye itching Eye pain
Treatment of Muscular pain,Aceclo-MR Tablet,As directed by physician,,Nausea Vomiting Heartburn Stomach pain Diarrhea Loss of appetite Tiredness Sleepiness
Treatment of AnxietyTreatment of Skin conditions with inflammation & itching,Atarax Drops,As directed by physician,,Sedation Nausea Vomiting Upset stomach Constipation
Treatment of Cough with mucus,Ambrodil-LX Syrup,As directed by physician,,Nausea Vomiting Diarrhea Upset stomach Stomach pain Allergic reaction Dizziness Headache Rash Hives Tremors Palpitations Muscle cramp Increased heart rate
Treatment of Cough with mucus,Asthakind-LS Expectorant Cola Sugar Free,As directed by physician,,Nausea Vomiting Diarrhea Upset stomach Stomach pain Allergic reaction Dizziness Headache Rash Hives Tremors Palpitations Muscle cramp Increased heart rate
 Pain relief Fever,Acton-OR Tablet SR,As directed by physician,No common side effects seen,
Treatment of Sneezing and runny nose due to allergies,Avamys Nasal Spray,As directed by physician,,Nasal inflammation Headache Nosebleeds Nasal ulceration Breathlessness
Treatment of Chronic obstructive pulmonary disease (COPD),AB Phylline N Tablet,As directed by physician,,Vomiting Heartburn Stomach pain Upset stomach Rash Hives Itching Breathing problems Nasal inflammation Increased white blood cell count
 Pain relief,Acenac-P  Tablet,As directed by physician,,Nausea Vomiting Stomach pain epigastric pain Loss of appetite Heartburn Diarrhea
 Hypertension (high blood pressure) Edema Low potassium Heart failure,Aldactone 50 Tablet,As directed by physician,,Nausea Vomiting Leg cramps Dizziness Drowsiness Confusion Breast enlargement in male Increased creatinine level in blood
Treatment of Allergic conditions,Alerid Tablet,As directed by physician,,Sleepiness Fatigue Vomiting Dryness in mouth Headache Constipation
 Asthma,Aerocort Inhaler,As directed by physician,,Hoarseness of voice Headache Dizziness Pharyngitis Vomiting Bronchitis inflammation of the airways Dryness in mouth Cough Application site irritation Nausea Gastrointestinal motility disorder Thrush Throat irritation
 Pain relief,Acemiz-S Tablet,As directed by physician,,Nausea Vomiting Stomach pain Indigestion Heartburn Loss of appetite Diarrhea
Treatment of Chronic obstructive pulmonary disease (COPD)Treatment and prevention of Asthma,Asthalin Respules,As directed by physician,,Tremors Headache Palpitations Increased heart rate Muscle cramp Respiratory tract inflammation Respiratory tract infection Cough
Treatment of Sneezing and runny nose due to allergies,Azeflo Nasal Spray,As directed by physician,,Taste change Nosebleeds Headache Cough Upper respiratory tract infection Dryness in mouth Nasopharyngitis inflammation of the throat and nasal passages Sinus inflammation Stomach discomfort Fungal infection of oropharynx Tremors Palpitations Voice change
 Pain relief,Ace Proxyvon Tablet,As directed by physician,,Nausea Vomiting Stomach pain epigastric pain Loss of appetite Heartburn Diarrhea
Treatment of Influenza (flu),Antiflu 75mg Capsule,As directed by physician,,Nausea Vomiting Abdominal pain Diarrhea
Treatment of Bacterial infections,Augmentin 375 Tablet,As directed by physician,,Vomiting Nausea Diarrhea Mucocutaneous candidiasis
 Alzheimer's disease,Admenta 5 Tablet,As directed by physician,,Dizziness Headache Confusion Constipation
Treatment of Heart failure,Azmarda 50mg Tablet,As directed by physician,,Dizziness Increased potassium level in blood Fatigue Hypotension low blood pressure
Treatment of Sneezing and runny nose due to allergies,Alerid-D Tablet,As directed by physician,,Dryness in mouth Headache Vomiting Sleepiness Fatigue Constipation Diarrhea
 Varicose veins,Aldosmin 500mg Tablet,As directed by physician,,Diarrhea Dizziness Hives Itching Nausea Erythema skin redness Stomach pain
Treatment of Sneezing and runny nose due to allergies,Allercet-DC Tablet,As directed by physician,,Dryness in mouth Headache Vomiting Sleepiness Fatigue Constipation Diarrhea
Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain),Amlip 5 Tablet,As directed by physician,,Headache Fatigue Nausea Abdominal pain Sleepiness
Treatment and prevention of Blood clots,Acitrom 1 Tablet,As directed by physician,Hemorrhage,
Treatment of Fungal infections,AF 400 Tablet,As directed by physician,,Headache Nausea Stomach pain
Treatment of Hypertension (high blood pressure),Amlopres-AT Tablet,As directed by physician,,Sleepiness Headache Ankle swelling Flushing sense of warmth in the face ears neck and trunk Slow heart rate Palpitations Nausea Edema swelling Constipation Tiredness Cold extremities
 Heart attack prevention and high cholesterol,Aztolet  10 Tablet,As directed by physician,,Stomach pain Diarrhea Indigestion Constipation Headache Dizziness Muscle pain Weakness Increased glucose level in blood Increased liver enzymes
Treatment of Bacterial infections,Azikem 500mg Tablet,As directed by physician,,Nausea Abdominal pain Diarrhea
Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain),Amlovas 5 Tablet,As directed by physician,,Headache Fatigue Nausea Abdominal pain Sleepiness
Treatment of Muscular pain,Acenac-MR Tablet,As directed by physician,,Nausea Vomiting Heartburn Stomach pain Diarrhea Loss of appetite Dryness in mouth
Treatment of Fungal infections,AF 150 Tablet DT,As directed by physician,,Headache Nausea Stomach pain
Treatment of High cholesterolPrevention of Heart attack,Atorlip-F Tablet,As directed by physician,,Nausea Stomach pain Constipation Flatulence Headache Muscle pain Increased liver enzymes Increased glucose level in blood
Treatment of Acne Acute promyelocytic leukaemia,A-Ret 0.1% Gel,As directed by physician,,Erythema skin redness Skin irritation Dry skin Dry lips Pale red skin Increased sensitivity to light
Treatment of Bacterial infections,Apdrops PD Eye Drop,As directed by physician,Eye irritation Eye discomfort Blurred vision,
Treatment of AsthmaTreatment of BronchitisTreatment of Chronic obstructive pulmonary disease (COPD),AB-Flo Capsule,As directed by physician,,Vomiting Abdominal pain Drowsiness Heartburn Increased white blood cell count Loss of appetite Rash Itching Constipation Diarrhea Abdominal discomfort Abdominal distension Esophageal bleeding Red spots or bumps Breathing problems High white blood cell count Nasal inflammation
Treatment of Parkinson's disease,Amantrel Tablet,As directed by physician,,Nausea Dryness in mouth Constipation Dizziness Blurred vision Insomnia difficulty in sleeping Hallucination Peripheral edema Balance disorder loss of balance Orthostatic hypotension sudden lowering of blood pressure on standing
Treatment of Bacterial infections,Azithral XL 200 Liquid,As directed by physician,,Nausea Abdominal pain Diarrhea
Treatment of Hypertension (high blood pressure)Treatment of Edema,Aquazide 12.5 Tablet,As directed by physician,,Headache Nausea Altered blood lipid level Weakness Dizziness
Treatment of Acne Acute promyelocytic leukaemia,A-Ret 0.05% Gel,As directed by physician,,Erythema skin redness Skin irritation Dry skin Dry lips Pale red skin Increased sensitivity to light
Treatment of Bacterial infections,Althrocin 250 Tablet,As directed by physician,,Vomiting Nausea Abdominal pain Diarrhea
Treatment of GoutTreatment of Kidney stone,Alkasol Oral Solution Sugar Free,As directed by physician,,Stomach pain Tiredness Diarrhea Nausea Vomiting Frequent urge to urinate
Treatment of Type 2 diabetes mellitus,Ajaduo 25mg/5mg Tablet,As directed by physician,,Hypoglycemia low blood glucose level Cough Nasopharyngitis inflammation of the throat and nasal passages Urinary tract infection Nausea Vomiting Constipation Genital fungal infection
 Varicose veins,Aldosmin 1000mg Tablet,As directed by physician,,Diarrhea Dizziness Hives Itching Nausea Erythema skin redness Stomach pain
Treatment of Sneezing and runny nose due to allergies,Allegra Nasal Spray,As directed by physician,,Nasal inflammation Headache Nosebleeds Nasal ulceration Breathlessness
Treatment of Resistant Tuberculosis (TB)Treatment of Bacterial infections,Advent Forte 457mg Syrup Tangy Orange,As directed by physician,,Abdominal pain Allergy Vomiting Nausea Diarrhea Mucocutaneous candidiasis
 Diarrhea,Andial 2mg Tablet,As directed by physician,,Constipation Nausea Headache Stomach pain
Treatment of Dry cough,Alkof DX Syrup,As directed by physician,Upset stomach Sleepiness,
Treatment of Abdominal pain,Anafortan Syrup,As directed by physician,,Dryness in mouth Constipation Blurred vision Increased heart rate
Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain),Amlodac 5 Tablet,As directed by physician,,Headache Fatigue Nausea Abdominal pain Sleepiness
 Herpes Simplex Virus Infections Chickenpox Herpes labialis Shingles Genital herpes infection,Acivir 800 DT Tablet,As directed by physician,,Headache Dizziness Vomiting Nausea Fatigue Fever Stomach pain Diarrhea Skin rash Photophobia
Treatment of Type 2 diabetes mellitus,Amaryl 2mg Tablet,As directed by physician,,Hypoglycemia low blood glucose level Headache Nausea Dizziness Weakness
 Cough,Alaspan AM Tablet,As directed by physician,,Upset stomach Headache Sleepiness Allergic reaction
Treatment of Mouth ulcers,Anabel Liquid Gel,As directed by physician,No common side effects seen,
Treatment of Sneezing and runny nose due to allergies,Air-M Tablet,As directed by physician,,Nausea Diarrhea Vomiting Skin rash Flu like symptoms Headache Drowsiness Dizziness
Treatment of Acne,Aziderm 10% Cream,As directed by physician,Application site reactions burning irritation itching and redness,
 Pain relief,Ace-Proxyvon CR Tablet,As directed by physician,,Nausea Flatulence Indigestion Diarrhea Constipation
Treatment of Hypertension (high blood pressure)Treatment of Angina (heart-related chest pain)Treatment of ArrhythmiaPrevention of Heart attack,Aten 50 Tablet,As directed by physician,Fatigue Slow heart rate Cold extremities Gastrointestinal disturbance,
Treatment of Chronic obstructive pulmonary disease (COPD)Treatment and prevention of Asthma,Asthalin 4 Tablet,As directed by physician,,Tremors Headache Palpitations Increased heart rate Muscle cramp Nervousness
Treatment of Bacterial eye infections,Azithral Eye Ointment,As directed by physician,Burning eyes,
Treatment of Bacterial infections,Aziwok 500 Tablet,As directed by physician,,Nausea Abdominal pain Diarrhea
 Cough,Ambrolite-S Expectorant,As directed by physician,,Nausea Diarrhea Vomiting Dizziness Headache Rash Tremors Increased heart rate Upper abdominal pain Urticaria Itching Sweating Changes in serum aminotransferase levels Bloating Indigestion
Treatment of AsthmaTreatment of BronchitisTreatment of Chronic obstructive pulmonary disease (COPD),AB-Flo SR Tablet,As directed by physician,,Vomiting Abdominal pain Drowsiness Heartburn Increased white blood cell count Loss of appetite Rash Itching Constipation Diarrhea Abdominal discomfort Abdominal distension Esophageal bleeding Red spots or bumps Breathing problems High white blood cell count Nasal inflammation
 Common cold,Ambrodil-Plus RF Syrup,As directed by physician,,Nausea Stomach discomfort Sleepiness Insomnia difficulty in sleeping Headache Dizziness Nervousness Restlessness Allergic reaction
Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain)Prevention of Heart attackPrevention of Stroke,Asomex 2.5 Tablet,As directed by physician,,Ankle swelling Dizziness Fatigue Flushing sense of warmth in the face ears neck and trunk Headache Palpitations Abdominal pain Muscle cramp Nausea Sleepiness Visual disturbance Dyspepsia Breathlessness Change in bowel habits
 Hypertension (high blood pressure),Amlosafe 3D Tablet,As directed by physician,,Ankle swelling Dizziness Nausea Peripheral edema Mood changes Visual disturbance
Treatment of Cough with mucus,Alkof Syrup,As directed by physician,,Nausea Diarrhea Bloating Indigestion Vomiting Stomach pain Sweating Dizziness Headache Skin rash Hives Tremors Increased heart rate
Treatment of Angina (heart-related chest pain),Angiplat 2.5 Capsule TR,As directed by physician,,Blurred vision Decreased blood pressure Dizziness Headache Increased heart rate Lightheadedness Paresthesia tingling or pricking sensation
Treatment of Hypertension (high blood pressure)Treatment of Angina (heart-related chest pain)Treatment of ArrhythmiaPrevention of Heart attack,Aten 25 Tablet,As directed by physician,Fatigue Slow heart rate Cold extremities Gastrointestinal disturbance,
 Alzheimer's disease,Admenta 10 Tablet,As directed by physician,,Dizziness Headache Confusion Constipation
 High cholesterolPrevention of Heart attack,Aztor 40 Tablet,As directed by physician,,Dyspepsia Abdominal pain Indigestion Diarrhea Joint pain Nasopharyngitis inflammation of the throat and nasal passages Nausea Pain in extremities Urinary tract infection Abnormal liver function tests
Treatment of Dry cough,Alkof Junior Syrup,As directed by physician,,Nausea Vomiting Loss of appetite Headache
Treatment of Bacterial infections,Azithral 100 Liquid,As directed by physician,,Nausea Abdominal pain Diarrhea
Treatment of Bacterial infections,Azibact 500 Tablet,As directed by physician,,Nausea Abdominal pain Diarrhea
Treatment of Cough with mucus,Amrox-LS Syrup,As directed by physician,,Nausea Vomiting Diarrhea Upset stomach Stomach pain Allergic reaction Dizziness Headache Rash Hives Tremors Palpitations Muscle cramp Increased heart rate
Treatment of Fungal skin infections,Abzorb Antifungal Soap,As directed by physician,,Blisters Skin peeling Swelling Application site irritation
 Schizophrenia Mania,Arip MT 5 Tablet,As directed by physician,,Akathisia inability to stay still Anxiety Blurred vision Constipation Dizziness Fatigue Headache Increased saliva production Indigestion Insomnia difficulty in sleeping Nausea Parkinsonism Restlessness Sleepiness Tremors Vomiting
Treatment of Neuropathic pain,Axogurd-SR Tablet,As directed by physician,,Dizziness Sleepiness Tiredness Uncoordinated body movements
Treatment of Benign prostatic hyperplasia,Alfusin Tablet PR,As directed by physician,,Upper respiratory tract infection Dizziness Headache Nausea Abdominal pain Impotence
Treatment of Bacterial infections,ATM 500 Tablet,As directed by physician,,Nausea Abdominal pain Diarrhea
Treatment of Respiratory tract disorders associated with viscid mucus,Alerfix Total Tablet SR,As directed by physician,,Nausea Upset stomach Dryness in mouth Headache Fatigue Allergic reaction Sleepiness Flu like symptoms
Treatment of Bacterial infections,Advent 625 Tablet,As directed by physician,,Vomiting Nausea Diarrhea Mucocutaneous candidiasis
Treatment of Hypertension (high blood pressure),Amlovas-AT Tablet,As directed by physician,,Sleepiness Headache Ankle swelling Flushing sense of warmth in the face ears neck and trunk Slow heart rate Palpitations Nausea Edema swelling Constipation Tiredness Cold extremities
Treatment of Acne,Aziderm 10% Gel,As directed by physician,Application site reactions burning irritation itching and redness,
Treatment of Allergic conditionsTreatment of Respiratory disease with excessive mucusTreatment of Skin conditions with inflammation & itchingTreatment and prevention of Meniere's disease,Avil 50mg Tablet,As directed by physician,Sedation,
